0-11220 press up
210 steer 679
240 steer 1752
250 steer 2826
270 steer 4972
310 steer 6046
320 steer 7119
330 steer 8613
340 steer 9534
360 steer 10607
390 steer 11681
470 steer 12754
770 steer 13827
870 steer 14900
880 steer 18389
900 steer 21340
920 steer 24829
930 steer 25902
950 steer 29122
1030 steer 25634
1040 steer 19999
1050 steer 14900
1060 steer 10071
1070 steer 0
1150 steer -869
1160 steer -2210
1170 steer -4088
1180 steer -5162
1190 steer -6235
1200 steer -7577
1210 steer -9992
1220 steer -10797
1230 steer -11602
1250 steer -14822
1400 steer -15895
1410 steer -18041
1420 steer -18846
1440 steer -19920
1450 steer -20725
1510 steer -19651
1520 steer -17237
1530 steer -12943
1570 steer -11870
1610 steer -10797
1730 steer -9723
1740 steer -8113
1750 steer -1942
1760 steer 0
2260 steer -3015
2270 steer -6235
2280 steer -8331
2290 steer -9723
2300 steer -10797
2340 steer -7308
2350 steer 0
3480 steer 1484
3490 steer 4704
3500 steer 5777
3510 steer 7119
3520 steer 11949
3540 steer 14106
3550 steer 15437
3610 steer 11681
3620 steer 7119
3630 steer 2826
3640 steer 1752
3650 steer 0
4190 steer 1216
4200 steer 2289
4210 steer 9802
4220 steer 13559
4230 steer 19422
4240 steer 22682
4250 steer 25902
4260 steer 27244
4270 steer 28585
4290 steer 17584
4300 steer 8192
4310 steer 947
4320 steer 0
4520 steer -9364
4530 steer -7304
4540 steer -7040
4550 steer -15957
4560 steer -20993
4570 steer -29580
4580 steer -44023
4600 steer -58350
4610 steer -62751
4620 steer -64623
4630 steer -65536
4660 steer -60575
4670 steer -47445
4680 steer -41723
4690 steer 0
6000 steer -869
6010 steer -11554
6020 steer -27484
6030 steer -40266
6040 steer -37066
6050 steer -65536
7550 steer -45668
7560 steer -32537
7570 steer -8543
7580 steer 8634
7610 steer 7695
7620 steer 17679
7630 steer 10112
7640 steer 17171
7650 steer 17307
7760 steer 15057
7770 steer 17039
7780 steer 4511
7800 steer -5525
8140 steer 5991
8160 steer -2163
8170 steer -4877
8190 steer 1967
8420 steer -13541
8440 steer -10027
8450 steer -20984
8460 steer -1593
8470 steer -32404
8540 steer 37687
8550 steer 1838
8590 steer 31595
8600 steer 3602
8790 steer 16344
8800 steer 18400
8810 steer 34785
8820 steer 60869
9090 steer 46041
9100 steer 59569
9110 steer 6544
9120 steer -438
9130 steer -5186
9140 steer 5848
9150 steer 5478
9170 steer -24580
9180 steer 0
9760 steer -5763
9770 steer -34819
9780 steer -47767
9790 steer -36517
9800 steer -53950
9870 steer 14004
9880 steer 5980
9890 steer 54630
9900 steer -17781
10060 steer -36217
10070 steer -42671
10080 steer -37820
10090 steer -26830
10100 steer -4110
10170 steer 46554
10180 steer 8972
10190 steer -2378
10200 steer 62554
10210 steer 3420
10380 steer -8694
10390 steer -27550
10400 steer -47708
10410 steer -63204
10560 steer -63411
10580 steer 12534
10590 steer 0
10920 steer 13425
10930 steer 15825
10940 steer 37492
10950 steer 33920
10960 steer 65536
